PREFIX,LABEL
BV,BRUTON VAULTS
BVA,BRUTON VAULTS ANTHOLOGIES
CGS,CHAPPELL GRAND STAGE
CHAP,CHAPPELL
CHAPAV,CHAPPELL AV
CHAPC,CHAPPELL CLASSICAL
CHAPWR,CHAPPELL WORLD
CHUCKD,CHUCK D PRESENTS
CM,CHRONIC TRAX
CNCT,CONNECT
CNOIR,CHAPPELL NOIR
COHH,CHRONICLES OF HIP HOP
CSPOTS,CHAPPELL SPOTS
CUTE,CUTE MUSIC
DF,DARKFLY
DGPM,DEUTSCHE GRAMMOPHON PM
DM,DISCOVERY MUSIC
EDGE,KILLER EDGE
EVO,EVO
FC,FIRSTCOM POWERPLAY ARCHIVE
FC-A TO FC-Z,FIRSTCOM
FCAN,FCANIMATED
FCD,FOCUS
FCLB,FOCUS CLUB
FCLS,FOCUS CLASSICS
FCSG,FOCUS SONGS
FLEX,FLEXITRACKS
FRX,FRESHWORX
GAL,GALERIE
GM,GOTHAM LIBRARY
GMS,GRAND MUSIC SOCIETY
GTP,GUM TAPES
HITS,GREATEST HITS
HM,HOLLYWOOD MUSIC
ICON,ICON TRAILER MUSIC
IRL,IN REALITY
KA,KILLER ANIMATION
KAR,KOSINUS ARTS
KAS,KILLER ARTIST SERIES
KCL,KOSINUS CLASSICAL
KL,KILLER LATINO
KLA,KOKA CLASSICAL
KOA,KOSINUS ARCHIVES
KOK,KOKA
KOL,KOSINUS WORLD
KOM,KOSINUS MAGAZINE
KOS,KOSINUS
KS,KILLER SCORES SET
KT,KILLER TRACKS
KTP,KILLER PROMOS
KTST,KILLER STAGE AND SCREEN
KTV,KOKA FOR TV
LO-CD,LO EDITIONS
MAT,MATCH
MHSR,MANNHEIM STEAMROLLER
MSTR,MASTER SOURCE LIBRARY
MXS,XS
NIGHT & NIGHTSE,NIGHTINGALE MUSIC
NM,NETWORK MUSIC
NOVA,NOVA
NUGGETS,NUGGETS
NVS,NIGHTINGALE VOCAL SERIES
NYB,NYB
OM,ONEMUSIC
PKT,SOUND POCKET MUSIC
PML,POINT
PN8CD,PLAN 8 MUSIC
RCAL,RCAL
RCF,REALITY BY C. FRANKE
RCR,ROADSIDE COUCH RECORDS
RDR,RADAR
RNM,REVERBNATION MUSIC
SA,SARAOMUSIC
SDN,SCORE ADDICTION
SEE,SEE
SFCB,STRANGE FRUIT COMMERCIAL BREAKS
SFT,STRANGE FRUIT
SLAM,SLAM!
SOHO,SOHO
SOHOA,SOHO ARCHIVE
SPOTON,SPOT ON
SVN,SEVENTH SENSE
SXSW,SXSW MUSIC LIBRARY
TRU,TRUE STORIES
ULS,ULTIMATE LATIN SERIES
US,ULTIMATE SERIES
UTS,UNIVERSAL TRAILER SERIES
VL,VELOCITY
VM,VOLTA MUSIC
VTMA,VITAMIN A
WAX,AUDIO WAX
WON,WALL OF NOISE
ZTS,ZERO TO SIXTY
SONIC DOJO,SONIC DOJO
ATS,AND THEN SOME
EDS,ELECTRONIC DANCE SERIES
FEM,FIRED EARTH MUSIC
NRF,NOISE REFINERY
RFM,REFUEL MUSIC
SOO,SOMOS
TSH,THE SCORING HOUSE
WOM,WEST ONE MUSIC
WOMG,WEST ONE MUSIC GROUP
ZRO,ZERO DEGREES
WOOD,WOODCUT PRODUCTION MUSIC LIBRARY
,
,
,
,
,
,
,
,
,
,
,
,
,
